"Guid","Name","SBQQ__Alignment__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeadingField__c","SBQQ__ConditionalPrintField__c","SBQQ__DisplayOrder__c","SBQQ__DynamicNumberScale__c","SBQQ__FieldName__c","SBQQ__FontFamily__c","SBQQ__FontSize__c","SBQQ__FontWeight__c","SBQQ__HeadingTextColor__c","SBQQ__HideOnComponents__c","SBQQ__LeftMargin__c","SBQQ__RightMargin__c","SBQQ__RollUp__c","SBQQ__Section__c","SBQQ__SeparateLine__c","SBQQ__SubGroupSummaryLabel__c","SBQQ__SummaryFontWeight__c","SBQQ__SummaryFunction__c","SBQQ__SummaryLabel__c","SBQQ__SummaryLevel__c","SBQQ__SummaryShadingColor__c","SBQQ__SummaryTextColor__c","SBQQ__Template__c","SBQQ__TextColor__c","SBQQ__TopMargin__c","SBQQ__WidthDiscardedWhenHidden__c","SBQQ__Width__c"
14778288-2295-4598-86b7-0913344a4b79,Description,Left,3.0,"#N/A","#N/A",2.0,false,SBQQ__Description__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",bcffdeb1-2177-4f24-be08-746d91c9a06b,"#N/A",3.0,false,35.0
59c10ac9-2dc9-4630-acc9-395e3bda0656,Net Total,Left,3.0,"#N/A","#N/A",6.0,false,SBQQ__NetTotal__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",bcffdeb1-2177-4f24-be08-746d91c9a06b,"#N/A",3.0,false,15.0
94d120f2-efda-4557-be70-c386dd369c85,List Price,Left,3.0,"#N/A","#N/A",3.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",bcffdeb1-2177-4f24-be08-746d91c9a06b,"#N/A",3.0,false,10.0
b198b1ab-cabb-4ac7-9255-96b73b2a8d87,Net Price,Left,3.0,"#N/A","#N/A",4.0,false,SBQ__NetPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",bcffdeb1-2177-4f24-be08-746d91c9a06b,"#N/A",3.0,false,10.0
c81deae0-98c5-47f1-8760-044656892175,Quantity,Left,3.0,"#N/A","#N/A",5.0,false,SBQQ__Quantitty__C,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",bcffdeb1-2177-4f24-be08-746d91c9a06b,"#N/A",3.0,false,10.0
f9543f7e-de08-47ab-9996-5d64ad653c76,Product,Left,3.0,"#N/A","#N/A",1.0,false,SBQQ__ProductName__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",bcffdeb1-2177-4f24-be08-746d91c9a06b,"#N/A",3.0,false,20.0
