"Guid","Name","SBQQ__BorderColor__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeaderHidden__c","SBQQ__ConditionalPrintField__c","SBQQ__Content__c","SBQQ__DisplayOrder__c","SBQQ__FilterField__c","SBQQ__FilterOperator__c","SBQQ__FilterValue__c","SBQQ__GroupField__c","SBQQ__KeepTogether__c","SBQQ__KeepWithNext__c","SBQQ__KeepWithPrevious__c","SBQQ__PageBreak__c","SBQQ__QuoteTotalsPrinted__c","SBQQ__RollUpField__c","SBQQ__SummaryDisplay__c","SBQQ__Template__c","SBQQ__TopMargin__c"
362f6f75-743b-4feb-8197-781f1360ba9d,Bottom,"#N/A",0.0,false,"#N/A",fcd5068a-7d1f-43b7-9e32-a776c090c3d0,30.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",bcffdeb1-2177-4f24-be08-746d91c9a06b,0.0
7f627dce-1447-4ed2-be01-4b35e1be5420,Top,"#N/A",0.0,false,"#N/A",f20ffd18-3b9e-49d8-9016-5b6821982bf4,10.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",bcffdeb1-2177-4f24-be08-746d91c9a06b,0.0
e615c2fb-f341-4453-8fd1-f8fd59c30917,Lines,"#N/A",0.0,false,"#N/A",5b8aba79-307f-4f17-8e20-dce5ab1ea85b,20.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",bcffdeb1-2177-4f24-be08-746d91c9a06b,0.0
