"Guid","SBQQ__IsRead__c","SBQQ__JobDetails__c","SBQQ__JobId__c","SBQQ__JobStatus__c","SBQQ__RecordId__c","SBQQ__RedirectUrl__c","SBQQ__Stacktrace__c"
2618e92c-e6b5-4a7f-bf22-7dc0249090a4,false,"#N/A",707Dn000009s7bK,"#N/A",a344x0000000vWWAAY::QuoteCalculator,"#N/A","#N/A"
39544036-35d6-4032-8881-be47360d40e6,true,"#N/A",707Dn000009s7bL,"#N/A",a344x0000000vW7AAI::QuoteDocumentService,"#N/A","#N/A"
66f15bf3-da6f-4a16-89d5-74974f42faea,false,"#N/A",707Dn000009s7bH,"#N/A",a344x0000000vMeAAI::QuoteCalculator,"#N/A","#N/A"
d5269b13-6524-49e6-a0bb-f05f3fee8da7,false,"#N/A","#N/A",Completed,a344x0000000vWMAAY::QuoteCalculator,"#N/A","#N/A"
d89c195a-3d6a-47df-98b3-f8a26049771e,false,"#N/A",707Dn000009s7bI,Completed,a344x0000000vWCAAY::QuoteCalculator,"#N/A","#N/A"
e741fe6f-6cb6-4555-89a5-a3f79f10cfb2,false,"#N/A","#N/A",Completed,a344x0000000vW7AAI::QuoteCalculator,"#N/A","#N/A"
f2a1a35c-c2dd-430c-98b9-22a986028472,false,"#N/A","#N/A",Completed,a344x0000000vWRAAY::QuoteCalculator,"#N/A","#N/A"
fbe13379-d55e-4d2f-a7a5-d821edc98bff,false,"#N/A",707Dn000009s7bJ,Completed,a344x0000000vWHAAY::QuoteCalculator,"#N/A","#N/A"
