"Guid","SBQQ__Active__c","SBQQ__AdvancedCondition__c","SBQQ__Body__c","SBQQ__ConditionsMet__c","SBQQ__Locked__c","SBQQ__ParentTerm__c","SBQQ__PrintOrder__c","SBQQ__Quote__c","SBQQ__StandardTerm__c","SBQQ__Status__c","SBQQ__TemplateContent__c"
66b77565-c6d0-4456-8fae-a05a3839ba7a,false,"#N/A","#N/A",All,false,"#N/A",4.0,"#N/A","#N/A",Draft,"#N/A"
77a3920e-a8d8-4f5b-805c-b262e1458ee4,false,"#N/A","#N/A",All,false,"#N/A",3.0,"#N/A","#N/A",Draft,"#N/A"
80322fa2-880c-43af-8458-ef229a01920b,false,"#N/A","#N/A",All,false,"#N/A",2.0,"#N/A","#N/A",Draft,"#N/A"
c4368c1e-6c08-4f7f-91e2-988920ce41c4,false,"#N/A","#N/A",All,false,"#N/A",1.0,"#N/A","#N/A",Draft,"#N/A"
ffbf54c8-5a65-47c3-b5a5-559d5aa2c76f,false,"#N/A","#N/A",All,false,"#N/A",5.0,"#N/A","#N/A",Draft,"#N/A"
